IS_SEGMENTED, SEGMENT_SIZE,INDEX_SIZE,DOCUMENT_COUNT,GENERAL_SEARCH_TERM,GENERAL_SEARCH_TIME,SPECIFIC_SEARCH_TERM,SPECIFIC_SEARCH_TIME, WITH_HIGHLIGHT, FRAGMENT_SIZE, HIGHLIGHT_TIME
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,4,,,,,,
True,1000,180.3mb,42500,decreto,8,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,4,,,,,,
True,1000,180.3mb,42500,decreto,4,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,7,,,,,,
True,1000,180.3mb,42500,decreto,7,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,7,,,,,,
True,1000,180.3mb,42500,decreto,7,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,7,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,9,,,,,,
True,1000,180.3mb,42500,decreto,7,,,,,,
True,1000,180.3mb,42500,decreto,8,,,,,,
True,1000,180.3mb,42500,decreto,4,,,,,,
True,1000,180.3mb,42500,decreto,3,,,,,,
True,1000,180.3mb,42500,decreto,3,,,,,,
True,1000,180.3mb,42500,decreto,3,,,,,,
True,1000,180.3mb,42500,decreto,2,,,,,,
True,1000,180.3mb,42500,decreto,2,,,,,,
True,1000,180.3mb,42500,decreto,3,,,,,,
True,1000,180.3mb,42500,decreto,7,,,,,,
True,1000,180.3mb,42500,decreto,8,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,7,,,,,,
True,1000,180.3mb,42500,decreto,11,,,,,,
True,1000,180.3mb,42500,,,,,True,prefeitura,1000,465
True,1000,180.3mb,42500,,,,,True,prefeitura,1000,73
True,1000,180.3mb,42500,,,,,True,prefeitura,1000,76
True,1000,180.3mb,42500,,,,,True,prefeitura,1000,265
True,1000,180.3mb,42500,,,,,True,prefeitura,1000,72
